miRNA	18-043_SC10_S9_L001_R1_001	18-043_SC11_S10_L001_R1_001	18-043_SC12_S11_L001_R1_001	18-043_SC14_S12_L001_R1_001	18-043_SC15_S13_L001_R1_001	18-043_SC16_S14_L001_R1_001	18-043_SC18_S15_L001_R1_001	18-043_SC19_S16_L001_R1_001	18-043_SC1_S1_L001_R1_001	18-043_SC20_S17_L001_R1_001	18-043_SC21_S18_L001_R1_001	18-043_SC22_S19_L001_R1_001	18-043_SC23_S20_L001_R1_001	18-043_SC2_S2_L001_R1_001	18-043_SC3_S3_L001_R1_001	18-043_SC4_S4_L001_R1_001	18-043_SC6_S5_L001_R1_001	18-043_SC7_S6_L001_R1_001	18-043_SC8_S7_L001_R1_001	18-043_SC9_S8_L001_R1_001	19-020_SC2_S21_L001_R1_001	19-020_SC6_S22_L001_R1_001	19-032_SC10_S31_L001_R1_001	19-032_SC11_S32_L001_R1_001	19-032_SC12_S33_L001_R1_001	19-032_SC13_S1_L001_R1_001	19-032_SC14_S2_L001_R1_001	19-032_SC15_S3_L001_R1_001	19-032_SC16_S4_L001_R1_001	19-032_SC17_S5_L001_R1_001	19-032_SC19_S6_L001_R1_001	19-032_SC1_S23_L001_R1_001	19-032_SC20_S7_L001_R1_001	19-032_SC21_S8_L001_R1_001	19-032_SC22_S9_L001_R1_001	19-032_SC24_S10_L001_R1_001	19-032_SC25_S11_L001_R1_001	19-032_SC26_S12_L001_R1_001	19-032_SC27_S13_L001_R1_001	19-032_SC28_S14_L001_R1_001	19-032_SC29_S15_L001_R1_001	19-032_SC2_S24_L001_R1_001	19-032_SC30_S16_L001_R1_001	19-032_SC31_S17_L001_R1_001	19-032_SC3_S25_L001_R1_001	19-032_SC4_S26_L001_R1_001	19-032_SC5_S27_L001_R1_001	19-032_SC6_S28_L001_R1_001	19-032_SC7_S29_L001_R1_001	19-032_SC9_S30_L001_R1_001	19-135_SC1_S18_L001_R1_001	19-135_SC2_S19_L001_R1_001	19-135_SC4_S20_L001_R1_001	19-231_SC10_S28_L001_R1_001	19-231_SC11_S29_L001_R1_001	19-231_SC12_S30_L001_R1_001	19-231_SC13_S31_L001_R1_001	19-231_SC2_S24_L001_R1_001	19-231_SC3_S25_L001_R1_001	19-231_SC6_S26_L001_R1_001	19-231_SC9_S27_L001_R1_001	19-295_SC1_S32_L001_R1_001	19-295_SC3_S33_L001_R1_001	19-295_SC4_S34_L001_R1_001	19-295_SC5_S35_L001_R1_001	19-315_SC1_S21_L001_R1_001	19-315_SC3_S22_L001_R1_001	negative_S23_L001_R1_001	negative_S34_L001_R1_001
hsa-let-7e-5p	6.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	23.0	0.0	0.0	0.0	0.0	10.0	23.0	1.0	0.0	0.0	26.0	9.0	21.0	0.0	0.0	6.0	66.0	7.0	101.0	9.0	0.0	9.0	108.0	88.0	0.0	61.0	2.0	1.0	30.0	2.0	2.0	0.0	8.0	17.0	0.0	0.0	90.0	0.0	108.0	38.0	95.0	0.0	49.0	20.0	27.0	23.0	14.0	2.0	20.0	0.0	2.0	9.0	51.0	4.0	4.0	9.0	9.0	0.0	0.0	0.0	0.0
hsa-let-7f-1-3p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-let-7f-2-3p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-let-7f-5p	179.0	72.5	42.5	0.5	7.0	0.0	2.0	0.0	133.5	1.0	0.0	0.0	19.0	165.5	17.0	75.0	113.5	127.0	107.0	154.0	118.5	20.0	99.0	0.0	146.5	42.0	181.0	36.5	85.0	100.5	439.0	185.0	60.0	256.5	58.0	75.5	47.0	43.0	14.0	0.0	38.0	98.0	5.0	6.0	206.5	65.0	310.0	81.0	177.5	27.0	141.0	83.0	129.0	237.5	101.0	163.5	252.0	12.0	59.0	146.5	211.0	3.5	75.5	102.5	141.5	0.0	12.0	0.0	0.0
hsa-let-7g-3p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-let-7g-5p	77.0	25.0	16.0	0.0	0.0	0.0	1.0	0.0	29.0	0.0	0.0	0.0	0.0	108.0	7.0	31.0	29.0	64.0	28.0	26.0	8.0	11.0	27.0	5.0	0.0	18.0	35.0	5.0	92.0	27.0	81.0	47.0	20.0	34.0	12.0	10.0	17.0	21.0	19.0	0.0	4.0	2.0	4.0	0.0	19.0	0.0	35.0	20.0	32.0	0.0	17.0	13.0	39.0	33.0	31.0	35.0	36.0	1.0	3.0	27.0	26.0	0.0	10.0	20.0	27.0	0.0	0.0	0.0	0.0
hsa-let-7i-3p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-let-7i-5p	109.0	72.0	22.0	0.0	0.0	0.0	1.0	18.0	54.0	0.0	0.0	0.0	0.0	109.0	24.0	91.0	69.0	25.0	45.0	43.0	40.0	7.0	41.0	0.0	66.0	21.0	108.0	9.0	44.0	27.0	145.0	89.0	24.0	75.0	17.0	19.0	69.0	13.0	3.0	0.0	13.0	36.0	6.0	0.0	51.0	5.0	139.0	35.0	61.0	3.0	365.0	131.0	129.0	74.0	57.0	59.0	5.0	9.0	5.0	40.0	65.0	0.0	23.0	51.0	39.0	9.0	0.0	0.0	0.0
hsa-miR-1-3p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-1-5p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-100-3p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-100-5p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	28.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	6.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-101-2-5p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-101-3p	6.5	15.0	4.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	12.0	0.0	1.0	6.0	9.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	21.0	5.0	4.0	6.0	0.0	0.0	5.0	14.0	6.0	0.0	4.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	3.0	6.0	6.0	0.0	0.0	0.0	0.0	7.0	0.0	1.0	4.0	4.0	9.0	0.0	0.0	0.0	0.0
hsa-miR-101-5p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-10226	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-10392-3p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-10392-5p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-10393-3p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-10393-5p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-10394-3p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-10394-5p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-10395-3p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-10395-5p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-10396a-3p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-10396a-5p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-10396b-3p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-10396b-5p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-10397-3p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
