Sample	coding_exons	GtRNAdb	intergenic	lncRNA	miRNA	miRNA_primary_transcript	misc_RNA_ensembl	Mt_rRNA_ensembl	Mt_tRNA_ensembl	piRBase	protein_coding_gene	ribozyme_ensembl	rRNA_ensembl	scaRNA_ensembl	snoRNA_ensembl	snRNA_ensembl	sRNA_ensembl	unmapped_reads
SB_CL_3	434	776	20441	3138	115656	7	128	0	0	70	20694	21	19	0	8749	13	0	97656
SB_CL_2	763	1794	22151	6037	77694	19	130	55	47	1059	24560	13	727	1	12097	65	0	84236
SB_CL_1	653	1041	27207	4126	89192	0	62	22	17	434	28903	3	339	0	14989	18	0	78668
SB_4N_3	207	540	8843	2591	82272	125	373	2	1	32	7392	51	75	1	2293	61	0	79495
SB_4N_2	197	508	7857	2326	71501	112	312	2	6	28	6811	47	120	0	1947	58	0	69341
SB_4N_1	141	493	8697	2139	86308	60	338	2	4	48	7256	30	93	0	3188	33	0	81453
4N_C3_3	118	82	6388	1845	71764	148	454	0	0	21	6013	161	30	0	3093	7	0	60653
4N_C3_2	156	137	7220	2193	78279	172	524	2	8	73	6602	183	76	0	2456	12	0	67514
4N_C3_1	131	78	6606	1797	73913	133	474	3	1	30	6237	108	30	2	3671	3	0	62098
4N_CL_2	232	225	9822	3570	132312	118	130	3	1	67	9936	49	178	0	9869	16	0	112087
4N_CL_1	239	250	8479	3440	130393	120	95	0	0	41	10010	36	98	0	9217	9	0	110240
4N_3	108	81	4928	1529	51711	133	387	3	3	25	4175	56	57	0	1243	34	0	45604
4N_2	94	55	6806	1567	66780	117	347	0	2	6	4741	32	19	0	2312	27	0	57510
4N_1	105	43	7116	1688	72639	131	372	0	1	15	5296	42	10	0	2280	22	0	63557
CL_3	437	1291	10479	6718	110395	216	277	16	97	260	14163	305	1272	3	3438	94	1	106341
CL_2	654	1940	9248	6363	78607	163	200	17	48	348	12359	150	1003	1	2915	59	0	101918
CL_1	407	2085	11240	7416	118355	297	376	11	30	287	15759	413	1683	3	3287	99	0	105206
SBN_1	182	1162	7591	4107	125539	196	237	2	10	23	8800	1513	89	0	1789	9	0	103092
SBN_2	188	1200	7343	4152	121820	209	233	5	55	90	8706	1370	118	1	1792	15	0	99292
SBN_3	174	1087	6615	3751	115832	147	190	7	38	28	7929	1350	110	0	1626	9	0	93533
SBN_CL_1	238	1673	8184	5979	139893	102	338	8	23	49	12485	709	182	1	3839	17	0	111553
SBN_CL_2	315	1307	8357	6103	140772	144	399	12	19	210	12714	824	199	0	3126	35	0	111148
SBN_CL_3	250	1010	8327	5931	140988	126	366	2	11	45	13147	803	101	0	3384	18	0	111048
SBN_4N_1	92	8	980	603	680	3	5	0	0	0	1515	4	39	0	11	3	0	1535
SBN_4N_2	75	4	786	575	566	1	4	1	0	4	1364	0	46	0	22	5	0	1414
SBN_4N_3	24	2	427	288	531	1	3	0	1	1	743	2	15	0	14	0	0	936
CATS_1	507	23	1864	1373	1228	13	9	22	9	27	2822	0	1566	0	67	20	0	11847
CATS_2	405	12	1057	505	671	10	2	6	3	9	1696	0	1323	0	39	1	0	11359
CATS_3	599	9	1922	1187	770	5	7	14	7	12	3056	3	1823	0	105	12	0	14444
SB_1	239	221	9391	3345	144334	66	171	1	13	41	7848	691	70	0	3668	4	0	123328
SB_2	266	234	9276	3479	142767	67	159	1	41	54	8095	719	121	0	3594	5	0	123440
SB_3	214	160	9199	3134	144424	55	152	3	18	47	7576	598	67	1	3873	6	0	124023
SB_4	328	142	9681	3738	139233	66	151	2	2	8	9471	824	7	0	3373	3	0	122718
SB_5	281	144	9613	3580	139810	83	130	5	7	12	9439	1140	9	0	2984	2	0	122344
SB_6	326	137	9549	3829	139774	94	137	0	0	8	9467	1046	12	0	2913	2	0	122409
SBN_4N_4	381	343	13913	3910	127229	262	569	0	0	20	10942	168	24	0	3920	104	0	121204
SBN_4N_5	256	288	13716	3735	127593	225	542	0	0	13	10161	155	7	0	3936	67	0	122669
SBN_4N_6	317	270	13024	4095	113543	199	493	0	0	52	10389	149	12	0	3239	72	0	111557
SBN_4	299	224	9937	6344	138852	363	258	0	0	2	14563	1240	19	0	1400	19	0	114796
SBN_5	321	237	9729	6350	139504	371	225	0	0	7	15001	1225	17	0	1476	40	0	113558
SBN_6	296	220	9353	5862	139993	363	201	0	0	9	13751	1218	27	0	1361	29	1	115576
SBN_CL_4	686	761	14341	8060	124938	184	29	1	12	19	16453	35	77	1	1890	20	3	119448
SBN_CL_5	583	827	13418	7520	127026	220	36	2	0	12	15391	49	56	0	1853	13	3	121824
SBN_CL_6	608	673	13834	7758	125090	177	22	2	11	20	15723	27	75	0	2069	18	2	122721
4N_4	228	91	11102	3710	88662	266	565	5	3	12	11446	318	14	0	2168	56	0	74800
4N_5	284	75	12835	4099	96763	333	614	0	0	9	12932	357	0	0	2380	91	0	81057
4N_6	294	84	13133	3731	96885	306	642	34	9	14	12587	276	13	0	2617	73	1	83069
4N_C3_4	316	101	12050	4789	107895	478	602	0	1	11	13206	440	6	0	2254	35	0	84460
4N_C3_5	159	97	11234	4261	111097	485	631	22	3	26	12107	471	13	1	2374	40	0	86981
4N_C3_6	241	73	11553	4314	110689	481	624	2	2	15	12287	442	11	0	2595	18	0	87798
4N_CL_3	469	204	15460	5746	123302	229	8	16	1	46	17314	4	41	1	9607	16	0	115962
4N_CL_4	503	158	15671	5772	123494	222	13	3	2	26	16357	8	18	0	9794	13	0	114274
4N_CL_5	582	112	15638	5831	119459	232	18	0	1	41	16500	14	20	0	12547	19	0	112834
CL_4	452	149	11032	6064	112097	162	16	4	1	37	21741	11	49	0	6934	36	0	104570
CL_5	418	288	11025	6226	112624	151	11	5	5	46	21209	10	87	1	7071	34	0	105194
CL_6	472	143	11717	6439	113805	195	6	10	3	46	21606	14	43	0	7119	38	0	104639
